+--------------+----------------------------------------+------------------------------------------------------------------------+
| biblionumber | author                                 | title                                                                  |
|           79 | (Translator), Shagufta Sharmeen Tania  | Susan Fletcher's Eve Green.                                            |
|           80 | Shankar                                | Samrat O Sundari.                                                      |
|           81 | Shankar                                | Ekhane Okhane.                                                         |
|           82 | Shankar                                | Tanaya.                                                                |
|           83 | Bandyopadhyay, Sharadindu              | Sharadindu Omnibus.                                                    |
|           84 | Chattopadhyay, Sarat Chandra           | Sharat Sahitya Sangraha - Vol 1.                                       |
|           85 | Chattopadhyay, Sarat Chandra           | Sharat Sahitya Sangraha - Vol 2.                                       |
|           86 | Chattopadhyay, Sarat Chandra           | Sharat Sahitya Sangraha - Vol 9.                                       |
|           87 | Chattopadhyay, Sarat Chandra           | Sharat Sahitya Sangraha - Vol 3.                                       |
|           88 | Chattopadhyay, Sarat Chandra           | Sharat Sahitya Sangraha - Vol 5.                                       |
|           89 | Chattopadhyay, Sarat Chandra           | Sharat Sahitya Sangraha - Vol 7.                                       |
|           90 | Chattopadhyay, Sarat Chandra           | Sharat Sahitya Sangraha - Vol 11.                                      |
|           91 | Chattopadhyay, Sarat Chandra           | Sharat Sahitya Sangraha - Vol 8.                                       |
|           92 | Chattopadhyay, Sarat Chandra           | Sharat Sahitya Sangraha - Vol 10.                                      |
|           93 | Chattopadhyay, Sarat Chandra           | Sharat Sahitya Sangraha - Vol 12.                                      |
|           94 | Chattopadhyay, Sarat Chandra           | Sharat Sahitya Sangraha - Vol 6.                                       |
|           95 | Chattopadhyay, Sarat Chandra           | Sharat Sahitya Sangraha - Vol 13.                                      |
|           96 | Chattopadhyay, Sarat Chandra           | Sharat Sahitya Sangraha - Vol 4.                                       |
|           97 | Mukhopadhyay, Subhash                  | Chheley Gechey Boney.                                                  |
|           98 | Mukhopadhyay, Subhash                  | Joto Durei Jai.                                                        |
|           99 | Dutta, Sudhindranath                   | Kulay O Kalpurush.                                                     |
|          100 | Dutta, Sudhindranath                   | Sudhindranath Dutta Shrestha Kobita.                                   |
|          101 | Bhattacharya, Sukanta                  | Purbabhash.                                                            |
|          102 | Bhattacharya, Sukanta                  | Akaal.                                                                 |
|          103 | Bhattacharya, Sukanta                  | Abhijaan.                                                              |
|          104 | Roy, Sukumar                           | Shomogro Shishu Sahitya.                                               |
|          105 | Gangopadhyay, Sunil                    | Purbo Poshchim Vol.1.                                                  |
|          106 | Mukhopadhyay, Shirshendu               | Parthibo.                                                              |
|          107 | Gangopadhyay, Sunil                    | Radhakrishna.                                                          |
|          108 | Gangopadhyay, Sunil                    | Pratham Alo - Part 2.                                                  |
|          109 | Gangopadhyay, Sunil                    | Amar Swapno.                                                           |
|          110 | Ali, Syed Mujtaba                      | Panchatantra.                                                          |
|          111 | Ali, Syed Mujtaba                      | Abiswashyo.                                                            |
|          112 | Ali, Syed Mujtaba                      | Dhupchhaya.                                                            |
|          113 | Roy, Tarapada                          | Jnan Gamyi.                                                            |
|          114 | Nasrin, Taslima                        | Fera.                                                                  |
|          115 | Roy Chowdhury, Upendra Kishore         | Upendrakishor Rachanabali.                                             |
|          116 | Various                                | Desh Subarnajayanti Galpo Sankalan.                                    |
|          117 | Majumdar, Lila                         | Chirokaler Sera.                                                       |
|          118 | Tagore, Abanindranath                  | Gharowa.                                                               |
|          119 | Gangopadhyay, Sunil                    | Purbo Poshchim Vol.2.                                                  |
|          120 | Ali, Syed Mujtaba                      | Bohu Bichitro.                                                         |
|          121 | Sanyal, Narayan                        | Honseshwari.                                                           |
|          122 | Jabbar, Abdul                          | Banglar Chalchitro.                                                    |
|          123 | Tagore, Rabindranath                   | Sesher Kobita.                                                         |
|          124 | Ali, Syed Mujtaba                      | Deshe Bideshe.                                                         |
|          125 | Shankar                                | Simabaddha.                                                            |
|          126 | Jarasandha                             | Nishanga Pathik - Part 2.                                              |
|          127 | Gangopadhyay, Sunil                    | Pratham Alo - Part 1.                                                  |
|          128 | Chakraborty, Shibram                   | Shibram Rachana Samagra.                                               |
|          129 | Biswas, Shailendra                     | Samsad Bangla Abhidhan.                                                |
|          130 | Gangopadhyay, Narayan                  | Narayan Gangopadhyay Rachanaboli - Part 2.                             |
|          131 | Tagore, Rabindranath                   | Bichitra.                                                              |
|          132 | Tagore, Rabindranath                   | Rabindra Rachanaboli - Vol 1.                                          |
|          133 | Tagore, Rabindranath                   | Rabindra Rachanaboli - Vol 2.                                          |
|          134 | Tagore, Rabindranath                   | Rabindra Rachanaboli - Vol 3.                                          |
|          135 | Tagore, Rabindranath                   | Rabindra Rachanaboli - Vol 4.                                          |
|          136 | Tagore, Rabindranath                   | Rabindra Rachanaboli - Vol 5.                                          |
|          137 | Tagore, Rabindranath                   | Rabindra Rachanaboli - Vol 7.                                          |
|          138 | Tagore, Rabindranath                   | Rabindra Rachanaboli - Vol 8.                                          |
|          139 | Tagore, Rabindranath                   | Rabindra Rachanaboli - Vol 9.                                          |
|          140 | Tagore, Rabindranath                   | Rabindra Rachanaboli - Vol 10.                                         |
|          141 | Tagore, Rabindranath                   | Rabindra Rachanaboli - Vol 11.                                         |
|          142 | Tagore, Rabindranath                   | Rabindra Rachanaboli - Vol 12.                                         |
|          143 | Tagore, Rabindranath                   | Rabindra Rachanaboli - Vol 13.                                         |
|          144 | Sanyal, Narayan                        | Rupamanjari Vol 1.                                                     |
|          145 | Mitra, Premendra                       | Ghanada Samagra : Vol 1.                                               |
|          146 | Mitra, Premendra                       | Ghanada Samagra : Vol 3.                                               |
|          147 | Basu, Rajshekhar                       | Parashuram Granthabali : Vol 3.                                        |
|          148 | Basu, Rajshekhar                       | Parashuram Granthabali : Vol 3.                                        |
|          149 | Basu, Rajshekhar                       | Parashuram Granthabali : Vol 1.                                        |
|          150 | Basu, Rajshekhar                       | Parashuram Granthabali : Vol 2.                                        |
|          151 | Corbett, Jim                           | Jim Corbett Omnibus : Vol 1.                                           |
|          152 | Corbett, Jim                           | Jim Corbett Omnibus : Vol 2.                                           |
|          153 | Mitra, Bimal                           | Kori Diye Kinlam : Vol 1.                                              |
|          154 | Mitra, Bimal                           | Kori Diye Kinlam : Vol 2.                                              |
|          155 | Bhattacharya, Suchitra                 | Kachher Manush.                                                        |
|          156 | Dey, Sailesh                           | Ami Subhas Bolchhi : Combined Volumes.                                 |
|          157 | Majumdar, Lila                         | Chhotoder Betal Botrish.                                               |
|          158 | Bhattacharya, Nabarun                  | Harbart.                                                               |
|          159 | Bhattacharya, Nimai                    | Memsaheb.                                                              |
|          160 | Qodirov, Pirimqul                      | Babar.                                                                 |
|          161 | Mukhopadhyay, Prabhat Kumar            | Prabhat Kumar Mukhopadhyay er Shreshtho Galpa.                         |
|          162 | Gangopadhyay, Sunil                    | Galpa Samagra - Vol 2.                                                 |
|          163 | Sanyal, Narayan                        | Swargiya Naraker Dwar Ebong :                                          |
|          164 | Banaful                                | Banaful er Shreshtho Galpa.                                            |
|          165 | Ali, Syed Mujtaba                      | Syed Mujtaba Ali Rachanabali : Vol 3.                                  |
|          166 | Mitra, Gajendra Kumar                  | Panchajanya.                                                           |
|          167 | Das, Satyajiban                        | Chandrabhaga Draupadi.                                                 |
|          168 | Bhaduri, Nrishinghoproshad             | Mahabharater Bhart Juddho Ebong Krishno.                               |
|          169 | Gupta, Mohit                           | Ashok-renuguli :                                                       |
|          170 | Basu, Samaresh                         | Swanirbachito Shrestho Galpa.                                          |
|          171 | Multiple                               | Sandesh.                                                               |
|          172 | Nasrin, Taslima                        | Lajja.                                                                 |
|          173 | Nasrin, Taslima                        | Nosto Meyer Nosto Godyo.                                               |
|          174 | Tania, Shagufta Sharmin                | Aanbari.                                                               |
|          175 | Basu, Rajshekhar                       | Probondhaboli.                                                         |
|          176 | Sanyal, Narayan                        | Sher-e-Shahidweep.                                                     |
|          177 | Chaudhuri, Amitabh                     | Bharat Namey Desh.                                                     |
|          178 | Tagore, Rabindranath                   | Muktir Upaye.                                                          |
|          179 | Devi, Ashapurna                        | Bokul Katha.                                                           |
|          180 | Tagore, Rabindranath                   | Daak Ghar.                                                             |
|          181 | Rehman, Mijan                          | Shunyo Theke Mahabishwa.                                               |
|          182 | Gangopadhyay, Sunil                    | Chobir Deshe, Kobitar Deshey.                                          |
|          183 | Bhattacharya, Dipen                    | Nokhotrer Jhor :                                                       |
|          184 | Kalkut                                 | Purnakumbha , Punascha.                                                |
|          185 | Das, Jibanananda                       | Rupashi Bangla.                                                        |
|          186 | Basu, Samarash                         | Mohomaya.                                                              |
|          187 | Ray, Edited: Satyajit                  | Sera Sandesh.                                                          |
|          188 | Ahmed, Mithun                          | Pocket Bhorti Podyo.                                                   |
|          189 | Majumdar, Lila                         | Lila Majumdar Rachanabali Volume 2.                                    |
|          190 | Majumdar, Lila                         | Lila Majumdar Rachanabali Volume 3.                                    |
|          191 | Ahmed, Humayun                         | Sheyo Nortoki.                                                         |
|          192 | Ray, Sukumar                           | Sukumar Sahitya Samagra Volume - 1.                                    |
|          193 | Ahmed, Humayun                         | Jodio Sandhya.                                                         |
|          194 | Ray, Sukumar                           | Sukumar Sahitya Samagra Volume - 2.                                    |
|          195 | Devi, Mahasweta                        | Aranyer Adhikar.                                                       |
|          196 | Bashar, Abul                           | Jol Maati Aguner Upakhyan.                                             |
|          197 | Mukhopadhyay, Shirshendu               | Sataru aar Jolkanya.                                                   |
|          198 | Khatoun, Sanzida                       | Nazrul Manash.                                                         |
|          199 | Tagore, Rabindranath                   | Shesh Saptak.                                                          |
|          200 | Ray, Satyajit                          | Ek Dozen Goppo.                                                        |
|          201 | Ahmed, Humayun                         | Ishtishon.                                                             |
|          202 | Sanyal, Narayan                        | Khola Mone.                                                            |
|          203 | Nasrin, Taslima                        | Nirbachito Column.                                                     |
|          204 | Basu, Monoj                            | Sreshtho Rachana Shombhar.                                             |
|          205 | Multiple                               | Amar Rabindranath.                                                     |
|          206 | Ghosh, Shankha                         | Ey Amar Abaron.                                                        |
|          207 | Dostoyevsky, Fyodor                    | Agyatobasher Patra.                                                    |
|          208 | Ahmed, Humayun                         | Parul O teen ti Kukur.                                                 |
|          209 | Ray, Satyajit                          | Shonku Ekai Eksho.                                                     |
|          210 | Sanyal, Narayan                        | Phirey Dekha: Gandhiji O Netaji.                                       |
|          211 | Khatun, Sanjida                        | Rabindranath: Tar Akash Bhora Kole.                                    |
|          212 | Multiple                               | Bishmay Ami Viswa - Bidhatrir: Kazi Nazrul er Shrishti Bikkha.         |
|          213 | Mukhopadhyay, Shirshendu               | Chakra.                                                                |
|          214 | Gangopadhyay, Sukanta                  | Panchasti Galpa.                                                       |
|          215 | Milan, Imdadul Haq                     | Esechhile.                                                             |
|          216 | Dutta, Rameshchandra                   | Ramesh Rachanabali.                                                    |
|          217 | Mitra, Bimal                           | Shohor Chhariye.                                                       |
|          218 | Iqbal, Muhammed Zafar                  | Eeron.                                                                 |
|          219 | Gangopadhyay, Sunil                    | Sei Somoy - Vol 2.                                                     |
|          220 | Gangopadhyay, Sunil                    | Sei Somoy - Vol 1.                                                     |
|          221 | Bhattacharya, Suchitra                 | Sera Dosh ti Upanyash.                                                 |
|          222 | Misc                                   | Romancho Patrikar Galpa Sankalan.                                      |
|          223 | Bhattacharya, Gautam                   | Pakistan e Bharat er Uday.                                             |
|          224 | Dutta, Kalyani                         | Pinjar e Boshiya.                                                      |
|          225 | Jajabar                                | Jajabar Omnibus.                                                       |
|          226 | Bandyopadhyay, Sharadindu              | Jhinder Bondi.                                                         |
|          227 | Bhattacharya, Suchitra                 | Firey Dekha.                                                           |
|          228 | Tagore, Rabindranath                   | LokSahitya Palli Prakiti O Prashongik Rachana.                         |
|          229 | Bhattacharya, Nabarun                  | Upanyas Samagra.                                                       |
|          230 | Shankar                                | Mathar Upor Chhad.                                                     |
|          231 | Roy, Tarapada                          | Jalanjali.                                                             |
|          232 | Deb Sen, Nabaneeta                     | Truck Bahone McMahon e.                                                |
|          233 | Aurobindo, Sri                         | Ved Rahasya - Part 1.                                                  |
|          234 | Misc                                   | Rasanasmritir Basanadesh.                                              |
|          235 | Multiple                               | Samakal.                                                               |
|          236 | Multiple                               | Panchyakanya :                                                         |
|          237 | Mitra, Shambhu                         | Kanchanranga.                                                          |
|          238 | Singha, Ranajit                        | Kolkatar Rastay Rastay :                                               |
|          239 | Bhattacharya, Suchitra                 | Achhi.                                                                 |
|          240 | Bhattacharya, Suchitra                 | Neel Ghurni.                                                           |
|          241 | Bhattacharya, Suchitra                 | Saheli.                                                                |
|          242 | Bhattacharya, Suchitra                 | Aina Mahal.                                                            |
|          243 | Sripantha                              | Thogi.                                                                 |
|          244 | Dutta, Madhusudan                      | Madhusudan Rachanabali.                                                |
|          245 | Mukhopadhyay, Sri Harekrishna          | Kobi Joydev o Sri Geetogobindo.                                        |
|          246 | Jarasandha                             | Louhokopat.                                                            |
|          247 | Gangopadhyay, Sunil                    | Galpa Samagra - Vol 3.                                                 |
|          248 | Aurobindo, Sri                         | Ved Rahasya - Part 2.                                                  |
|          249 | Mitra, Gajendra Kumar                  | Panchajanya - Part 2.                                                  |
|          250 | Bandyopadhyay, Sharadindu              | Sharadindu Omnibus - Vol 2 :                                           |
|          251 | Majumdar, Samaresh                     | Kalbela.                                                               |
|          252 | Mitra, Bimal                           | Begum Mary Biswas.                                                     |
|          253 | Gupta, Nihar Ranjan                    | Kiriti Omnibus - Vol 1.                                                |
|          254 | Gupta, Nihar Ranjan                    | Kiriti Omnibus - Vol 2.                                                |
|          255 | Gupta, Nihar Ranjan                    | Kiriti Omnibus - Vol 3.                                                |
|          256 | Gupta, Nihar Ranjan                    | Kiriti Omnibus - Vol 4.                                                |
|          257 | Gupta, Nihar Ranjan                    | Kiriti Omnibus - Vol 5.                                                |
|          258 | Gupta, Nihar Ranjan                    | Kiriti Omnibus - Vol 6.                                                |
|          259 | Gupta, Nihar Ranjan                    | Kiriti Omnibus - Vol 7.                                                |
|          260 | Gupta, Nihar Ranjan                    | Kiriti Omnibus - Vol 8.                                                |
|          261 | Gupta, Nihar Ranjan                    | Kiriti Omnibus - Vol 9.                                                |
|          262 | Gupta, Nihar Ranjan                    | Kiriti Omnibus - Vol 10.                                               |
|          263 | Gupta, Nihar Ranjan                    | Kiriti Omnibus - Vol 11.                                               |
|          264 | Gupta, Nihar Ranjan                    | Kiriti Omnibus - Vol 12.                                               |
|          265 | Gupta, Nihar Ranjan                    | Kiriti Omnibus - Vol 13.                                               |
|          266 | Gupta, Nihar Ranjan                    | Kiriti Omnibus - Vol 14.                                               |
|          267 | Gupta, Nihar Ranjan                    | Kiriti Omnibus - Vol 15.                                               |
|          268 | Tagore, Rabindranath                   | Geetabitan :                                                           |
|          269 | Bandyopadhyay, Sharadindu              | Sharadindu Omnibus - Vol 1 :                                           |
|          270 | Devi, Ashapurna                        | Ei To Sedin.                                                           |
|          271 | Deb Sen, Nabaneeta                     | Bhalo-Bashar Baranda.                                                  |
|          272 | Ghosh, Binoy                           | Vidyasagar O Bangali Samaj.                                            |
|          273 | Gangopadhyay, Sunil                    | Kobita Samagra.                                                        |
|          274 | Sengupta, Krishajit                    | Record Er Poshak.                                                      |
|          275 | Pal, Amar                              | Aprokashito Kichhu Chhobi O Katha.                                     |
|          276 | Chattopadhyay, Sanjib                  | Lotakombol - Part 2.                                                   |
|          277 | Sastri, Sibnath                        | Ramtanu Lahiri O Tatkalin BangaSamaj.                                  |
|          278 | Chakraborty, Sudhir                    | Gabhir Nirjan Pathey.                                                  |
|          279 | Bhaduri, Satinath                      | Dhorai Charit Manas.                                                   |
|          280 | Misc                                   | Mahan Ekushey - Subarna jayanti Grantha.                               |
|          281 | Mukhopadhyay, Shirshendu               | Pagla Saheber Kabar.                                                   |
|          282 | Sarkar, Jogindranath                   | Hashi Khushi - Pat 1.                                                  |
|          283 | Gangopadhyay, Sunil                    | Andamaney Hati.                                                        |
|          284 | Goswami, Joy                           | Hulora tool er pashey.                                                 |
|          285 | Tagore, Rabindranath                   | Birpurush.                                                             |
|          286 | Mukhopadhyay, Shirshendu               | Hirer Angti.                                                           |
|          287 | Ghosh, Sailen                          | Mitul Naam e Putulti.                                                  |
|          288 | Basu, Sunirmal                         | Chirokaler Sera.                                                       |
|          289 | Majumdar, Samaresh                     | Arjun Samagra - Vol 2.                                                 |
|          290 | Misc                                   | Sera Hashir Galpa.                                                     |
|          291 | Mukhopadhyay, Bibhutibhushan           | Ponur Chithi.                                                          |
|          292 | Vidyasagar, Ishwar Chandra             | Adarshalipi O Sachitra Saral Baranaparichay.                           |
|          293 | Roy Chowdhury, Upendra Kishore         | Chitre Chhotoder Mahabharat.                                           |
|          294 | Roy Chowdhury, Upendra Kishore         | Chitre Chhotoder Ramayan.                                              |
|          295 | Khambadkone, Radha M.                  | Sobcheye Sera Gachh.                                                   |
|          296 | Shuvaprasanna                          | Tumpar Ramdhonu.                                                       |
|          297 | Partljict, Tone                        | Suryatake Chhute Cheyechhilam.                                         |
|          298 | Ray, Sabyasachi                        | Panchatantra Galpa Samagra.                                            |
|          299 | Ghosh, Kalyani                         | Lal Baksho, Interview O Anyanyo Kishore Galpa.                         |
|          300 | Ghosh, Bimal                           | Rajar Raja.                                                            |
|          301 | Horvat, Joza                           | Waotapu.                                                               |
|          302 | Lahiri, Shanu                          | Hati O Gandar er Galpa.                                                |
|          303 | Shuvaprasanna                          | Amar Chhelebela.                                                       |
|          304 | Shankar, Ravi                          | Amar Chhelebela.                                                       |
|          305 | Thakur, Gaganendranath                 | Bhodor Bahadur.                                                        |
|          306 | Misc                                   | Matribhasha.                                                           |
|          307 | Mukhopadhyay, Shekhar                  | Rupkatha Noy Pokar Katha.                                              |
|          308 | Aaluwa, Hydrose                        | Lej.                                                                   |
|          309 | Chattopadhyay, Sanjib                  | Palash.                                                                |
|          310 | Roy Chowdhury, Upendra Kishore         | Boka Bagh.                                                             |
