+--------------+----------------------------------------+------------------------------------------------------------------------+
| biblionumber | author                                 | title                                                                  |
|          351 | Bandopadhaya, Tarashankar              | Tara Shankar Rachanabali Vol -16.                                      |
|          352 | Bandopadhaya, Tarashankar              | Tara Shankar Rachanabali Vol -17.                                      |
|          353 | Bandopadhaya, Tarashankar              | Tara Shankar Rachanabali Vol -18.                                      |
|          354 | Bandopadhaya, Tarashankar              | Tara Shankar Rachanabali Vol -19.                                      |
|          355 | Bandopadhaya, Tarashankar              | Tara Shankar Rachanabali Vol -20.                                      |
|          356 | Bandopadhaya, Tarashankar              | Tara Shankar Rachanabali Vol -21.                                      |
|          357 | Bandopadhaya, Tarashankar              | Tara Shankar Rachanabali Vol -22.                                      |
|          358 | Bandopadhaya, Tarashankar              | Tara Shankar Rachanabali Vol -23.                                      |
|          359 | Bandopadhaya, Tarashankar              | Tara Shankar Rachanabali Vol -24.                                      |
|          360 | Bandopadhaya, Tarashankar              | Tara Shankar Rachanabali Vol -25.                                      |
|          361 | Ali, Syed Mujtaba                      | Chacha Kahini.                                                         |
|          362 | Chattopadhyay, Sandipan                | Galpa Samagra - Vol 1.                                                 |
|          363 | Bandyopadhyay, Bibhutibhushan          | Hira Manik Jwale.                                                      |
|          364 | Mukhopadhyay, Madan Gopal              | Bidesher Chithi.                                                       |
|          365 | Jarasandha                             | Galpa Samagra.                                                         |
|          366 | Chaudhuri, Nirad C.                    | Atmaghati Rabindranath.                                                |
|          367 | Chaudhuri, Nirad C.                    | Bangali Jibone Ramoni.                                                 |
|          368 | Devi, Ashapurna                        | Ashapura Devi Rachabanli - Vol 1.                                      |
|          369 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 5 :                                          |
|          370 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 2 :                                          |
|          371 | Mitra, Gajendra Kumar                  | Panchajanya.                                                           |
|          372 | Devi, Ashapurna                        | Rachanabali - Vol 4.                                                   |
|          373 | Devi, Ashapurna                        | Rachanabali - Vol 6.                                                   |
|          374 | Bandyopadhyay, Bibhutibhushan          | Aranyak.                                                               |
|          375 | Devi, Ashapurna                        | Rachanabali - Vol 7.                                                   |
|          376 | Devi, Ashapurna                        | Rachanabali - Vol 10.                                                  |
|          377 | Devi, Ashapurna                        | Rachanabali - Vol 3.                                                   |
|          378 | Devi, Ashapurna                        | Rachanabali - Vol 2.                                                   |
|          379 | Devi, Ashapurna                        | Rachanabali - Vol 12.                                                  |
|          380 | Devi, Ashapurna                        | Rachanabali - Vol 13.                                                  |
|          381 | Devi, Ashapurna                        | Rachanabali - Vol 9.                                                   |
|          382 | Devi, Ashapurna                        | Rachanabali - Vol 5.                                                   |
|          383 | Devi, Ashapurna                        | Rachanabali - Vol 8.                                                   |
|          384 | Devi, Ashapurna                        | Rachanabali - Vol 11.                                                  |
|          385 | Basu, Bani                             | Golposamagra - Vol 5.                                                  |
|          386 | Basu, Bani                             | Golposamagra - Vol 1.                                                  |
|          387 | Basu, Bani                             | Golposamagra - Vol 2.                                                  |
|          388 | Basu, Bani                             | Golposamagra - Vol 3.                                                  |
|          389 | Abadhuta                               | Bhromon Kahini Samagra.                                                |
|          390 | Mitra, Bimal                           | Bimal Mitra Rachanabali - Vol 1.                                       |
|          391 | Chattopadhyay, Sandipan                | Golposamagra - Vol 2.                                                  |
|          392 | Mitra, Bimal                           | Bimal Mitra Rachanabali - Vol 7.                                       |
|          393 | Mitra, Bimal                           | Rachanabali - Vol 12.                                                  |
|          394 | Mitra, Bimal                           | Bimal Mitra Rachanabali - Vol 8.                                       |
|          395 | Maharaj, Shanku                        | Bagalito Karuna Jahnabi Jamuna.                                        |
|          396 | Acharya, Krishnendu                    | Bangler Bhojya Chhatu (Mushroom).                                      |
|          397 | Bhattacharya, Silanjan                 | Grambanglar Banyojontu (Stanyopaayee).                                 |
|          398 | Miscellaneous                          | Galpa Aar Galpa - Vols 1,2,3 :                                         |
|          399 | Gangopadhyay, Narayan                  | Rachanabali - Vol 2.                                                   |
|          400 | Gangopadhyay, Narayan                  | Rachanabali - Vol 1.                                                   |
|          401 | Gangopadhyay, Narayan                  | Rachanabali - Vol 4.                                                   |
|          402 | Gangopadhyay, Narayan                  | Rachanabali - Vol 5.                                                   |
|          403 | Gangopadhyay, Narayan                  | Rachanabali - Vol 3.                                                   |
|          404 | Gangopadhyay, Narayan                  | Rachanabali - Vol 6.                                                   |
|          405 | Gangopadhyay, Narayan                  | Rachanabali - Vol 7.                                                   |
|          406 | Gangopadhyay, Narayan                  | Rachanabali - Vol 8.                                                   |
|          407 | Gangopadhyay, Narayan                  | Rachanabali - Vol 9.                                                   |
|          408 | Gangopadhyay, Narayan                  | Rachanabali - Vol 10.                                                  |
|          409 | Gangopadhyay, Narayan                  | Rachanabali - Vol 11.                                                  |
|          410 | Gangopadhyay, Narayan                  | Rachanabali - Vol 12.                                                  |
|          411 | Miscellaneous                          | Bharat Jora Golpakatha.                                                |
|          412 | Chakraborty, Shibaram                  | Shibaram Bonam Shibram.                                                |
|          413 | Anisujjaman                            | Bangali o Bangladesh.                                                  |
|          414 | Sarkar, Pabitra                        | Ghonchu Charitamrita.                                                  |
|          415 | Chattopadhyay, Shakti                  | Jete Pari Kintu Keno Jabo.                                             |
|          416 | Bandopadhyay, Manik                    | Sera Manik.                                                            |
|          417 | Mitra, Bimal                           | Rachanabali - Vol 5.                                                   |
|          418 | Mitra, Bimal                           | Rachanabali - Vol 6.                                                   |
|          419 | Mitra, Bimal                           | Rachanabali - Vol 9.                                                   |
|          420 | Mitra, Bimal                           | Rachanabali - Vol 10.                                                  |
|          421 | Mitra, Bimal                           | Rachanabali - Vol 2.                                                   |
|          422 | Mitra, Bimal                           | Rachanabali - Vol 4.                                                   |
|          423 | Mitra, Bimal                           | Rachanabali - Vol 11.                                                  |
|          424 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 1 :                                          |
|          425 | Mitra, Bimal                           | Rachanabali - Vol 3.                                                   |
|          426 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 3 :                                          |
|          427 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 4 :                                          |
|          428 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 6 :                                          |
|          429 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 7 :                                          |
|          430 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 8 :                                          |
|          431 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 9 :                                          |
|          432 | Bandyopadhyay, Bibhutibhushan          | Bibhuti Rachanabali - Vol 10 :                                         |
|          433 | Chattopadhyay, Hiren                   | Ganesh Thakur Er Galpa.                                                |
|          434 | Roy, Jagadananda                       | Banglar Pakhi.                                                         |
|          435 | Patri, Purnendu                        | Ram Rabon Er Chhora.                                                   |
|          436 | Pfeiffer, Pierre                       | Hatir Khobor.                                                          |
|          437 | Misc                                   | Kishor Kobita Sanchayan.                                               |
|          438 | Misc                                   | Chhotoder Sera Natok.                                                  |
|          439 | Ghosh, Shankha                         | Sab Kichhutei Khelna Hoy.                                              |
|          440 | Ghosh, Shankha                         | Alpabayas Kalpabayas.                                                  |
|          441 | Tagore, Abanindranath                  | Shakuntala.                                                            |
|          442 | Chakrabarti, Syamal                    | Bijnaner Ajana Galpo.                                                  |
|          443 | Basu, Sunirmal                         | Chhander Tungtang.                                                     |
|          444 | Mitra Majumdar, Dakhinaranjan          | Dadamoshai er Thole.                                                   |
|          445 | Bandopadhyay, Tarashankar              | Chhotoder Shrestho Galpo.                                              |
|          446 | Bandyopadhyay, Bibhutibhushan          | Chader Pahar.                                                          |
|          447 | Jarasandha                             | Louhokopat.                                                            |
|          448 | Bandyopadhyay, Bibhutibhushan          | Kishor Sahitya Samagra.                                                |
|          449 | Miscellaneous                          | Bharat Jora Kothonkotha.                                               |
|          450 | Patri, Purnendu                        | Kothopokothon - 5.                                                     |
|          451 | Patri, Purnendu                        | Kothopokothon - 1.                                                     |
|          452 | Patri, Purnendu                        | Kothopokothon - 3.                                                     |
|          453 | Haldar, Jibantara                      | Chora Kata - 2.                                                        |
|          454 | Sanyal, Narayan                        | Kanaklatar Shondhane.                                                  |
|          455 | Goswami, Joy                           | Ghumiyecho, Jhaupata?.                                                 |
|          456 | Singh, Kobita                          | Kobita Singh-er Shrestho Kobita.                                       |
|          457 | Roy, Satyendranath                     | Sahitotte Rabindranath.                                                |
|          458 | Tagore, Rabindranath                   | Rabindra Rachanabali - Vol 1.                                          |
|          459 | Tagore, Rabindranath                   | Rabindra Rachanabali - Vol 2.                                          |
|          460 | Tagore, Rabindranath                   | Rabindra Rachanabali - Vol 3.                                          |
|          461 | Tagore, Rabindranath                   | Rabindra Rachanabali - Vol 4.                                          |
|          462 | Tagore, Rabindranath                   | Rabindra Rachanabali - Vol 5.                                          |
|          463 | Tagore, Rabindranath                   | Rabindra Rachanabali - Vol 6.                                          |
|          464 | Tagore, Rabindranath                   | Rabindra Rachanabali - Vol 7.                                          |
|          465 | Tagore, Rabindranath                   | Rabindra Rachanabali - Vol 8.                                          |
|          466 | Tagore, Rabindranath                   | Rabindra Rachanabali - Vol 9.                                          |
|          467 | Tagore, Rabindranath                   | Rabindra Rachanabali - Vol 10.                                         |
|          468 | Tagore, Rabindranath                   | Rabindra Rachanabali - Vol 11.                                         |
|          469 | Tagore, Rabindranath                   | Rabindra Rachanabali - Vol 12.                                         |
|          470 | Tagore, Rabindranath                   | Rabindra Rachanabali - Vol 13.                                         |
|          471 | Tagore, Rabindranath                   | Rabindra Rachanabali - Vol 14.                                         |
|          472 | Tagore, Rabindranath                   | Rabindra Rachanabali - Vol 15.                                         |
|          473 | Tagore, Rabindranath                   | Rabindra Rachanabali - Vol 15 Kaw.                                     |
|          474 | Gangopadhyay, Sunil                    | Kishor Galpa Bichitra.                                                 |
|          475 | Sanyal, Hirankumer                     | Porichoi r kuri bochor o anyano smritichitro.                          |
|          476 | Halder, Jibantara                      | Chhora Kata - 1.                                                       |
|          477 | Basu, Basudeb                          | Nefar Oronno.                                                          |
|          478 | Mitra Majumdar, Dakhinaranjan          | Thakurmar Jhuli.                                                       |
|          479 | Collection                             | Prasanga Rabindranath.                                                 |
|          480 | Shankar                                | Ek Bag Shankar.                                                        |
|          481 | ROW, BLANK                             | DO NOT DELETE ROW.                                                     |
|          482 | Chaudhuri, Nirad C.                    | Atmaghati Bangali.                                                     |
|          483 | Manteifel, Pyotr                       | Prakitibid er Kahini.                                                  |
|          484 | Sanyal, Narayan                        | Nak Uchu.                                                              |
|          485 | Mitra, Ashoke                          | Apila Chapila.                                                         |
|          486 | Chattopadhyay, Sarat Chandra           | Sharat Rachanabali - Part 1.                                           |
|          487 | Bhattacharya, Goutam                   | Smaran: Baishe Shrabon.                                                |
|          488 | Chattopadhyay, Sarat Chandra           | Sharat Rachanabali - Part 3.                                           |
|          489 | Chattopadhyay, Sarat Chandra           | Sharat Rachanabali - Part 2.                                           |
|          490 | Bandopadhyay, Saroj                    | Dushomoyer Galpa.                                                      |
|          491 | Basu, Pratibha                         | Jiboner Jolchhobi.                                                     |
|          492 | Mukhopadhay, Subhas                    | Ekbar Bidaya Dey Ma.                                                   |
|          493 | Basu, Anindita                         | Amar Baas Katha Jey.                                                   |
|          494 | Banerjee, Dr. Arun Baran               | Remembrance.                                                           |
|          495 | Mukherjee, Arun                        | Jagannath.                                                             |
|          496 | Bhattacharya, Swati                    | Pratham Prakash.                                                       |
|          497 | Chattopadhyay, Shankar                 | Jaisther Holud Dupur.                                                  |
|          498 | Bandyopadhyay, Sharadindu              | Sharadindu Omnibus - Vol 10.                                           |
|          499 | Das Gupta, Meenakshi                   | The Calcutta Cook Book.                                                |
|          500 | Misc                                   | Rabi Bornali.                                                          |
|          501 | Bandyopadhyay, Sharadindu              | Sharadindu Omnibus - Vol 11.                                           |
|          502 | Bandyopadhyay, Sharadindu              | Sharadindu Omnibus - Vol 6.                                            |
|          503 | Ghosh, Shankha                         | Kaaler Matra o Rabindra Natok.                                         |
|          504 | Bandyopadhyay, Sharadindu              | Sharadindu Omnibus - Volume 7.                                         |
|          505 | Bandyopadhyay, Sharadindu              | Sharadindu Omnibus - Vol 12.                                           |
|          506 | Bandyopadhyay, Sharadindu              | Sharadindu Omnibus - Vol 2.                                            |
|          507 | Jajabar                                | Dristi Path.                                                           |
|          508 | Shankar                                | Ekdin Hathat.                                                          |
|          509 | Bisi, Pramathanath                     | Keri Saheber Munshi.                                                   |
|          510 | Goswami, Parimal                       | Rabindranath, Bangali, Bangla Bhasha O Nana Nibandha.                  |
|          511 | Lahiri, Shanu                          | Smritir Collage.                                                       |
|          512 | Guha, Buddhadeb                        | Kojagar.                                                               |
|          513 | Bandyopadhyay, Jitendra Nath           | Utsa Krishi.                                                           |
|          514 | Mukhopadhyay, Dr. Prabhat Kumar        | Chine Bauddha Sahitya.                                                 |
|          515 | Kar, Bimal                             | Nirbachito Galpa.                                                      |
|          516 | Tagore, Rabindranath                   | Dipika.                                                                |
|          517 | Bandopadhyay, Manik                    | Manik Bandopadhyayer Kobita.                                           |
|          518 | Majumdar, Samaresh                     | Garbha Dharini.                                                        |
|          519 | Sengupta, Mihir                        | Bisadbriksha.                                                          |
|          520 | Vivekananda, Swami                     | Vedanta Muktir Bani.                                                   |
|          521 | Lokeshwarananda, Swami                 | Bharater Nibedita.                                                     |
|          522 | Dutta, Michael Madhushudan             | Meghnad Badh Kabya.                                                    |
|          523 | Shompadit, Shoroj Bandopadhyay         | Dushomoyer Galpa.                                                      |
|          524 | Tagore, Rabindranath                   | Rajarshi.                                                              |
|          525 | Ghosh, Tapobrata                       | Rabindra Chhotogolper Shilparup.                                       |
|          526 | Tagore, Rabindranath                   | Rabindra Rachanaboli.                                                  |
|          527 | Tagore, Rabindranath                   | Chirakumar Sabha.                                                      |
|          528 | Shankar                                | Jana Aranya.                                                           |
|          529 | Vishwabharati, Collection of Authors - | Rabindra Parichay.                                                     |
|          530 | Parashuram                             | Gaddalika.                                                             |
|          531 | Dutta, Michael Madhushudan             | Michael Madhusudan.                                                    |
|          532 | Devi, Maitreyi                         | It Does Not Die.                                                       |
|          533 | Chakraborty, Shibram                   | Shibram Omnibus - Vol 1 :                                              |
|          534 | Chakraborty, Shibram                   | Shibram Omnibus - Vol 2 :                                              |
|          535 | Chakraborty, Shibram                   | Shibram Omnibus - Vol 3 :                                              |
|          536 | Chakraborty, Shibram                   | Shibram Omnibus - Vol 4 :                                              |
|          537 | Chakraborty, Shibram                   | Shibram Omnibus - Vol 5 :                                              |
|          538 | Chakraborty, Shibram                   | Shibram Omnibus - Vol 6 :                                              |
|          539 | Chakraborty, Shibram                   | Shibram Omnibus - Vol 7 :                                              |
|          540 | Chakraborty, Shibram                   | Shibram Omnibus - Vol 8 :                                              |
|          541 | Chakraborty, Shibram                   | Shibram Omnibus - Vol 10 :                                             |
|          542 | Chakraborty, Shibram                   | Shibram Omnibus - Vol 11 :                                             |
|          543 | Chakraborty, Shibram                   | Shibram Omnibus - Vol 12 :                                             |
|          544 | Chakraborty, Shibram                   | Shibram Omnibus - Vol 13 :                                             |
|          545 | Chakraborty, Shibram                   | Shibram Omnibus - Vol 14 :                                             |
|          546 | Chakraborty, Shibram                   | Shibram Omnibus - Vol 15 :                                             |
|          547 | Gangopadhyay, Shyamal                  | Arjuner Agyatabas.                                                     |
|          548 | Sripantha                              | Kolkata.                                                               |
|          549 | Sanyal, Probodh Kumar                  | Uttar Himalay Charit.                                                  |
|          550 | Sanyal, Probodh Kumar                  | Mahaprasthaner Pathey.                                                 |
|          551 | Ghosh, Subodh                          | Subodh Ghosher Galpa Samagra - Vol 4.                                  |
|          552 | Mitra Majumdar, Dakhinaranjan          | Thakurmar Jhuli.                                                       |
|          553 | Basu, Buddhadeb                        | Kalidas er Meghdoot.                                                   |
|          554 | Mukhopadhyay, Shirshendu               | Shirshendu Mukhopadhyay er Galpa Sangraha.                             |
|          555 | Mukhopadhyay, Shirshendu               | Manabjamin.                                                            |
|          556 | Chakraborty, Swapnamoy                 | Parabasi.                                                              |
|          557 | Chattopadhyay, Pramodkumar             | Tantrabhilashir Sadhusanga.                                            |
|          558 | Majumdar, Jogibar Baradacharan         | Pathharar Path O Dwadosh Bani.                                         |
|          559 | Thakur, Paritosh                       | Bed Jante Hole.                                                        |
|          560 | Vivekananda, Swami                     | Karmajog.                                                              |
|          561 | Budhananda, Swami                      | Ramprasad - The Melodious Music.                                       |
|          562 | Joshi, Kireet                          | A National Agenda for Education.                                       |
|          563 | Bhattacharya, Shibkali                 | Chiranjeeb Banoushadhi.                                                |
|          564 | Geetananda, Swami                      | Bhagabat Katha.                                                        |
|          565 | Swahananda, Swami                      | Mother Worship.                                                        |
|          566 | Tagore, Rabindranath                   | Birpurush.                                                             |
|          567 | Biswas, Debabrata                      | Bratyajoner Ruddho Sangeet.                                            |
|          568 | Ghosh, Gour Kishore                    | Amake Bolte Dao.                                                       |
|          569 | Gupta, Radhaprasad                     | Sthan Kaal Patra.                                                      |
|          570 | Ayyub, Abu Sayeed                      | Pather Sesh Kothay.                                                    |
|          571 | Devi, Maitreyi                         | Ato Rakta Kano.                                                        |
|          572 | Dastidar, Dr Sabyasachi Ghosh          | E Amar Desh.                                                           |
|          573 | Chattopadhyay, Dipankar                | Rabindranath O Bigyan.                                                 |
|          574 | Rahaman, Hossainur                     | Vivekananda, Vedanta & Islam.                                          |
|          575 | Ayyub, Abu Sayeed                      | Pantha Joner Sakha.                                                    |
|          576 | Bandyopadhyay, Sharadindu              | Sharadindu Omnibus - Vol 5 :                                           |
|          577 | Bandyopadhyay, Sharadindu              | Sharadindu Omnibus - Vol 4 :                                           |
|          578 | Bandyopadhyay, Sharadindu              | Sharadindu Omnibus - Vol 3 :                                           |
|          579 | Bandyopadhyay, Sharadindu              | Sharadindu Omnibus - Vol 8.                                            |
|          580 | Misc                                   | Dushprapyo Rahasya Kahini Sangraha - Vol 1.                            |
|          581 | Tagore, Rabindranath                   | Rabindra Rachanaboli - Vol 15.                                         |
|          582 | Biswas, Himendu                        | Aami.                                                                  |
|          583 | Bhattacharya, Swati                    | Chakrabyuhey Baignanik.                                                |
|          584 | Ali, Syed Mujtaba                      | Deshe Bideshe.                                                         |
|          585 | Banaful                                | Banaful er Galpa Samagra - Vol 3.                                      |
|          586 | Banaful                                | Banaful er Galpa Samagra - Vol 2.                                      |
|          587 | Banaful                                | Banaful er Galpa Samagra - Vol 1.                                      |
|          588 | Kabiraj, Dr Gopinath                   | Sadhudarshan O Satprasanga - Vol 2.                                    |
|          589 | Bandopadhyay, Rakhaldas                | Banglar Itihas - Vol 1.                                                |
|          590 | Kabiraj, Dr Gopinath                   | Sadhudarshan O Satprasanga - Vol 3.                                    |
|          591 | Kabiraj, Dr Gopinath                   | Sadhudarshan O Satprasanga - Vol 4.                                    |
|          592 | Kabiraj, Dr Gopinath                   | Sadhudarshan O Satprasanga - Vol 1.                                    |
|          593 | Kabiraj, Dr Gopinath                   | Sadhudarshan O Satprasanga - Vol 5.                                    |
|          594 | Kabiraj, Dr Gopinath                   | Sadhudarshan O Satprasanga - Vol 6.                                    |
|          595 | Biswas, Himendu                        | Onra Dujon O Ami.                                                      |
|          596 | Premchand, Munshi                      | Premchand Galpa Samagra - Vol 4.                                       |
|          597 | Premchand, Munshi                      | Premchand Galpa Samagra - Vol 3.                                       |
|          598 | Premchand, Munshi                      | Premchand Galpa Samagra - Vol 2.                                       |
|          599 | Premchand, Munshi                      | Premchand Galpa Samagra - Vol 1.                                       |
|          600 | Mukhopadhyay, Shirshendu               | Jao Pakhi.                                                             |
|          601 | Chattopadhyay, Bhabaniprasad           | Gandhiji O Netaji.                                                     |
|          602 | Bandopadhyay, Rakhaldas                | Banglar Itihas - Vol 2.                                                |
|          603 | Ali, Syed Mujtaba                      | Syed Mujtaba Ali Rachanabali : Vol 4.                                  |
|          604 | Roy, Dinendra Kumar                    | Palli Chitra.                                                          |
|          605 | Mitra, Radharaman                      | Kolikata Darpan - Vol 1.                                               |
|          606 | Guha, Bhumendra                        | Alekhya : Jibanananda.                                                 |
|          607 | Bandyopadhyay, Sharadindu              | Sharadindu Omnibus - Vol 1 :                                           |
|          608 | Bandyopadhyay, Sharadindu              | Sharadindu Omnibus - Vol 2.                                            |
|          609 | Chaudhuri, Nirad C.                    | Atmaghati Bangali - Vol 1 :                                            |
|          610 | Chaudhuri, Nirad C.                    | Atmaghati Bangali - Vol 1 :                                            |
|          611 | Chaudhuri, Nirad C.                    | Atmaghati Bangali - Vol 1 :                                            |
|          612 | Chaudhuri, Nirad C.                    | Atmaghati Bangali - Vol 2 & 3 :                                        |
|          613 | Chaudhuri, Nirad C.                    | Atmaghati Bangali - Vol 2 :                                            |
|          614 | Premchand, Munshi                      | Premchand Galpa Samagra - Vol 5.                                       |
|          615 | Premchand, Munshi                      | Premchand Galpa Samagra - Vol 6.                                       |
|          616 | Premchand, Munshi                      | Premchand Galpa Samagra - Vol 7.                                       |
|          617 | Premchand, Munshi                      | Premchand Galpa Samagra - Vol 8.                                       |
|          618 | Basu, Buddhadeb                        | Miss Tomato.                                                           |
|          619 | Majumdar, Subhadra Urmila              | Tukur Boi.                                                             |
|          620 | Ghosh, Sailen                          | Arun Barun Kiranmala.                                                  |
|          621 | Kar, Bimal                             | Raban er Mukhosh.                                                      |
|          622 | Sripantha                              | Haate Ghori Chokhe Chasma.                                             |
|          623 | Ghosh, Shankha                         | Chhotto Ekta School.                                                   |
|          624 | Chakraborty, Punyalata                 | Chhotto Chhotto Galpa.                                                 |
|          625 | Roy Chowdhury, Upendra Kishore         | Gupi Gayen Bagha Bain.                                                 |
|          626 | Misc                                   | Alor Fulki.                                                            |
|          627 | Rekha, Fouzia                          | Nishidhho Vabona.                                                      |
|          628 | Majumdar, Samaresh                     | Uttaradhikar.                                                          |
|          629 | Mitra, Bimal                           | Saheb Bibi Golam.                                                      |
|          630 | Chakraborty, Rajanikanta               | Gourer Itihas.                                                         |
|          631 | Roy, Dr Kulada Ranjan                  | Chheleder Betal Panchabinshati.                                        |
|          632 | Sen, Sourin                            | Jwala.                                                                 |
|          633 | Bandopadhaya, Tarashankar              | Tara Shankar Rachanabali Vol -10.                                      |
|          634 | Sanyal, Narayan                        | Ashleelatar Daaye.                                                     |
|          635 | Tania, Shagufta Sharmin                | Bhorjuboti, Beral O Bakira.                                            |
|          636 | Islam, Nazrul                          | Bakul.                                                                 |
|          637 | Basu, Samaresh                         | Aparichita.                                                            |
|          638 | Nabajya, Sankar                        | Homeopathic Osudh - Ki Deben Ki Deben Na.                              |
|          639 | Mukhopadhyay, Ramkumar                 | Dhanapatir Sinhaljatra.                                                |
|          640 | Sen, Rajanikanta                       | Rajanikanta Kabyaguchha.                                               |
|          641 | Jarasandha                             | Jarasandha Rachanabali - Vol 6.                                        |
|          642 | Patra, Sudhangshu                      | Bharat er Bigyan Sadhak - Part 1.                                      |
|          643 | Rakshit Ray, Bhupendrakishor           | Bharat e Shashastra Biplab.                                            |
|          644 | Mukhopadhyay, Prabhat Kumar            | Prabhat Kumar Mukhopadhyay er Galpa Samagra.                           |
|          645 | Devi, Ashapurna                        | Ratrir Pore.                                                           |
|          646 | Majumdar, Kamalkumar                   | Prathibha.                                                             |
|          647 | Shankar                                | Epar Bangla Opar Bangla.                                               |
|          648 | Chakraborty, Shyamal                   | Oitijhya Uttaradhikar O Bigyani Prafullachandra.                       |
|          649 | Mitra, Bimal                           | Saheb Bibi Golam.                                                      |
|          650 | Shastri, Shailendranarayan Ghoshal     | Tapobhumi Narmada - Vol 6.                                             |
|          651 | Shastri, Shailendranarayan Ghoshal     | Tapobhumi Narmada - Vol 5.                                             |
|          652 | Shastri, Shailendranarayan Ghoshal     | Tapobhumi Narmada - Vol 4.                                             |
|          653 | Shastri, Shailendranarayan Ghoshal     | Tapobhumi Narmada - Vol 3.                                             |
|          654 | Banaful                                | Banaful er Galpa Samagra - Vol 4.                                      |
|          655 | Dasgupta, Sri Sashibhushan             | Chhelebelar Vivekananda.                                               |
|          656 | Bhattacharya, Sri Ramen                | Neetimala.                                                             |
|          657 | Devi, Mahasweta                        | Ananda Path.                                                           |
|          658 | Swahananda, Swami                      | Swami Vivekananda's Concept of Service.                                |
|          659 | Bandopadhyay, Binayak                  | Satyi Holeo Galpo.                                                     |
|          660 | Basu, Kanailal                         | Netaji - Notun Kore Dekha.                                             |
|          661 | Nasrin, Taslima                        | Amar Meyebela - Autobiography Part 1.                                  |
|          662 | Nasrin, Taslima                        | Utal Hawa - Autobiography Part 2.                                      |
|          663 | Nasrin, Taslima                        | Dwikhandita - Autobiography Part 3.                                    |
|          664 | Bhowmick, Mani                         | Bigyane Ishwarer Sanket.                                               |
|          665 | Chattopadhyay, Sanjib                  | Mukhomukhi.                                                            |
|          666 | Chakraborty, Swapnamoy                 | Khuchro Katha.                                                         |
|          667 | Roy Chowdhury, Upendra Kishore         | Upendrakishor Samagra Rachanabali - Vol 2.                             |
|          668 | Chattopadhyay, Sanjib                  | Rakhis Ma Roshe Boshe.                                                 |
|          669 | Basu, Naba Kumar                       | Chirasakha.                                                            |
|          670 | Chattopadhyay, Sarat Chandra           | Sharat Rachanabali - Vol 1.                                            |
|          671 | Chattopadhyay, Sarat Chandra           | Sharat Rachanabali - Vol 2.                                            |
|          672 | Chattopadhyay, Sarat Chandra           | Sharat Rachanabali - Vol 3.                                            |
|          673 | Gangopadhyay, Narayan                  | Sobar Priyo Tenida.                                                    |
|          674 | Mitra, Arun                            | Ei Amrtia Ei Garal.                                                    |
|          675 | Mukherjee, Uddipan                     | Sada Canvas.                                                           |
|          676 | Gupta, Prachet                         | Chupi Chupi Bolchhi.                                                   |
|          677 | Korechhi, Sonar Machhi Khun            | Jete Pari Kintu Keno Jabo.                                             |
|          678 | Basu, Buddhadeb                        | Marche Pora Perek Er Gaan.                                             |
|          679 | Mukhopadhyay, Subhash                  | Padatik.                                                               |
|          680 | Das, Jibanananda                       | Jibanananda Dash er Kabya Granthan - Part 2.                           |
|          681 | Das, Jibanananda                       | Maha Prithibi.                                                         |
|          682 | Roy Chowdhury, Upendra Kishore         | Upendrakishor Samagra Rachanabali - Vol 1.                             |
|          683 | Mukhopadhyay, Krishnendu               | Panchas ti Galpa.                                                      |
|          684 | Chakraborty, Swapnamoy                 | Sada Kak.                                                              |
|          685 | Patra, Sudhangshu                      | Bharat er Bigyan Sadhak - Part 3.                                      |
|          686 | Mukhopadhyay, Ashutosh                 | Nishidhho Boi.                                                         |
|          687 | Patra, Sudhangshu                      | Bharat er Bigyan Sadhak - Part 2.                                      |
|          688 | Basu, Bani                             | Golposamagra - Vol 4.                                                  |
|          689 | Sanyal, Narayan                        | Na Manusher Kahini.                                                    |
|          690 | Sarkar, Pallab                         | Maya Sarkar.                                                           |
|          691 | Patri, Purnendu                        | Job Charnok je Kolkatay Eshechhilen.                                   |
|          692 | Bhattacharya, Shibkali                 | Chiranjeeb Banoushadhi - Part 2.                                       |
|          693 | Obhidhaan, Bangla Bhashar              | Chhobi Chhora Ishwar Gupta.                                            |
|          694 | Tagore, Rabindranath                   | Sanchaita.                                                             |
